,,,,,GyroX,GyroY,GyroZ,GyroX_MAX,GyroX_MIN,GyroY_MAX,GyroY_MIN,GyroZ_MAX,GyroZ_MIN,GyroX_DIFF,GyroY_DIFF,GyroZ_DIFF
40840,3.61,-4.37,-9.91,40840,-0.17,-0.16,-0.08,,,,,,,,,
40850,3.63,-2.83,-10.35,40850,-0.17,-0.13,-0.15,,,,,,,,,
40860,3.74,-1.58,-10.56,40860,-0.14,-0.09,-0.15,,,,,,,,,
40870,3.86,-0.68,-10.76,40870,-0.13,-0.04,-0.11,,,,,,,,,
40880,3.86,0.16,-10.48,40880,-0.15,0.02,-0.03,,,,,,,,,
40890,3.88,0.32,-9.99,40890,-0.2,0.06,0.07,,,,,,,,,
40900,3.86,-0.04,-9.43,40900,-0.3,0.08,0.17,,,,,,,,,
40910,3.8,-0.97,-9.21,40910,-0.43,0.07,0.23,,,,,,,,,
40920,3.65,-2.2,-9.26,40920,-0.47,0.06,0.24,,,,,,,,,
40930,3.66,-3.43,-9.18,40930,-0.37,0.02,0.19,,,,,,,,,
40940,3.73,-3.76,-9.25,40940,-0.23,-0.01,0.11,,,,,,,,,
40950,3.69,-3.19,-9.31,40950,-0.1,-0.04,0.03,,,,,,,,,
40960,3.52,-2.4,-8.84,40960,0.02,-0.07,-0.01,,,,,,,,,
40970,3.59,-1.47,-7.9,40970,0.05,-0.13,-0.02,,,,,,,,,
40980,3.81,-0.94,-7.62,40980,0,-0.22,0.01,,,,,,,,,
40990,3.74,-0.61,-8.32,40990,-0.08,-0.29,0.07,,,,,,,,,
41000,3.77,-1,-9.44,41000,-0.12,-0.33,0.13,,,,,,,,,
41010,3.84,-1.37,-10.45,41010,-0.14,-0.3,0.16,,,,,,,,,
41020,3.97,-1.61,-10.89,41020,-0.15,-0.24,0.18,,,,,,,,,
41030,3.85,-1.98,-10.84,41030,-0.13,-0.15,0.19,,,,,,,,,
41040,3.87,-2.64,-9.86,41040,-0.11,-0.09,0.17,,,,,,,,,
41050,3.87,-2.86,-8.49,41050,-0.1,-0.09,0.13,,,,,,,,,
41060,3.66,-3.07,-7.4,41060,-0.09,-0.17,0.08,,,,,,,,,
41070,3.7,-3.36,-6.71,41070,-0.08,-0.31,0.03,,,,,,,,,
41080,3.72,-3.3,-6.56,41080,-0.05,-0.47,-0.02,,,,,,,,,
41090,3.55,-3.64,-6.7,41090,0.04,-0.66,-0.07,,,,,,,,,
41100,3.73,-3.78,-7.26,41100,0.2,-0.87,-0.13,,,,,,,,,
41110,3.75,-3.39,-9.03,41110,0.37,-1.08,-0.17,,,,,,,,,
41120,3.87,-2.65,-12.93,41120,0.63,-1.24,-0.18,,,,,,,,,
41130,3.93,-1.61,-18.61,41130,0.82,-1.22,-0.14,,,,,,,,,
41140,3.62,-1.54,-24.84,41140,0.57,-0.96,-0.06,,,,,,,,,
41150,4.29,-2.9,-32.84,41150,-0.31,-0.43,-0.05,,,,,,,,,
41160,4.2,-3.85,-39.23,41160,-1.46,0.37,-0.09,,,,,,,,,
41170,3.79,-6.55,-39.23,41170,-2.4,1.72,-0.11,,,,,,,,,
41180,2.72,-10.2,-39.23,41180,-2.44,3.52,-0.25,,,,,,,,,
41190,-0.36,-8.66,-39.23,41190,-1.76,5.58,-0.45,,,,,,,,,
